epochs,KL,entropy
1,0.49264537667046654,4.0200202246583965
2,0.040817106456229414,4.379500227144
3,0.0013723141821499005,4.655516876146686
4,0.00273816765149033,4.4831988539859555
5,0.0025956407955448,4.6357697402658395
6,0.0061706413656584,4.551329026948665
7,0.028629787722710902,4.552106689903264
8,0.03365640993729007,4.5905453148146504
9,0.030787938289629453,4.588891791857051
10,0.016633814340756902,4.542176867603512
11,0.7034879743399989,4.83737600557518
12,0.0018046209446578054,4.574511647084469
13,0.0015250073023452965,4.581862497727641
14,0.008247777367141072,4.574767188922162
15,0.0010162786256806616,4.5954892521026895
16,0.018482568171895298,4.556331412533849
17,0.5243902242091988,4.805166456335588
18,0.4710766672514054,4.805947491561286
19,0.0013826498948172061,4.5255226798805355
20,0.0023141389123021005,4.576650239139845
