N,lr,sr,set_n,KL,entropy
400,0.85,0.8,1,0.009922221729786563,4.5894619203917015
400,0.85,0.9,2,0.08069961452171383,4.655271203374246
400,0.85,1.0,3,1.0101106654538097,4.8969999394459
400,0.85,1.1,4,1.8119431060479232,5.032524321235284
400,0.85,1.2,5,1.1334143525304685,4.906878094014813
400,0.88,0.8,6,3.521346666959601,5.073651132992614
400,0.88,0.9,7,0.0428700227315701,4.63025929022076
400,0.88,1.0,8,0.1089831612228617,4.621098838393346
400,0.88,1.1,9,0.3911320613768403,4.8049031397637005
400,0.88,1.2,10,0.1554384092380449,4.7192126890465635
400,0.91,0.8,11,0.006205823798949465,4.510954127252155
400,0.91,0.9,12,0.014143876462646183,4.589276372738703
400,0.91,1.0,13,2.2958418319609217,5.0337029421065616
400,0.91,1.1,14,1.5478105504224453,5.015612707691849
400,0.91,1.2,15,0.14399037916998636,4.712032364281917
400,0.94,0.8,16,0.07041460999517701,4.62810170607999
400,0.94,0.9,17,0.9589560829636077,4.859467172821605
400,0.94,1.0,18,0.015149232193632161,4.470523743737772
400,0.94,1.1,19,0.16767456303291128,4.6816283891589325
400,0.94,1.2,20,1.5915989075846428,5.006771679546409
400,0.97,0.8,21,0.011610812383828226,4.504215273114883
400,0.97,0.9,22,0.06969649319068083,4.686855223098133
400,0.97,1.0,23,0.4377251196192463,4.8070772226336835
400,0.97,1.1,24,0.5304918692317653,4.774824611500565
400,0.97,1.2,25,0.026377097680119165,4.512817286721414
400,1.0,0.8,26,0.004638036969320632,4.655981998793409
400,1.0,0.9,27,0.2586454836740938,4.774990237580726
400,1.0,1.0,28,0.051081348166424984,4.502522641096072
400,1.0,1.1,29,0.03667584111249607,4.519286903962697
400,1.0,1.2,30,0.01377000184254315,4.483606302182896
500,0.85,0.8,31,0.7926544298393753,4.821769987339216
500,0.85,0.9,32,0.48911830801254186,4.737222196394561
500,0.85,1.0,33,1.6523458732957592,4.955744847967031
500,0.85,1.1,34,0.9618733985513206,4.877133833954172
500,0.85,1.2,35,1.808407104614703,5.007736132315023
500,0.88,0.8,36,0.2442709129574049,4.666870788273641
500,0.88,0.9,37,1.027467554700634,4.876588713324917
500,0.88,1.0,38,0.449620064149171,4.805564628949695
500,0.88,1.1,39,1.405531724653977,4.892344334262171
500,0.88,1.2,40,0.19065511319895756,4.614231739054547
500,0.91,0.8,41,0.0037752923777301314,4.486192388446504
500,0.91,0.9,42,1.1336995282829947,4.966284125417742
500,0.91,1.0,43,2.3868506642263885,5.0562616311871285
500,0.91,1.1,44,0.8556326106628953,4.88367566387481
500,0.91,1.2,45,0.9676942405364383,4.850256895133141
500,0.94,0.8,46,0.4904582615569715,4.745128635562974
500,0.94,0.9,47,0.8390220642059115,4.88677360272894
500,0.94,1.0,48,0.01218547007640891,4.587915916927154
500,0.94,1.1,49,1.592892148297197,4.985222478949895
500,0.94,1.2,50,0.6235699325490042,4.859648948947651
500,0.97,0.8,51,0.05652341708709683,4.538050496883429
500,0.97,0.9,52,0.029163924582649877,4.67633795104522
500,0.97,1.0,53,0.0193204943160125,4.639889571958278
500,0.97,1.1,54,0.01697654231862371,4.511275356423879
500,0.97,1.2,55,0.0015090336328654162,4.602823538382535
500,1.0,0.8,56,0.0013320353748431562,4.575314263578194
500,1.0,0.9,57,0.026722585560999327,4.573745083363579
500,1.0,1.0,58,0.1680729757931735,4.76341806114179
500,1.0,1.1,59,0.0806619919308437,4.687793681252919
500,1.0,1.2,60,0.002153554672974072,4.645124407508071
600,0.85,0.8,61,0.2348901445562032,4.6611250348787285
600,0.85,0.9,62,1.2899061632173119,4.894411141864152
600,0.85,1.0,63,0.9175544075691852,4.854306598327011
600,0.85,1.1,64,0.20745087100665904,4.6570455198869904
600,0.85,1.2,65,0.22207127710672142,4.716553700854249
600,0.88,0.8,66,0.5550614097052732,4.762355361832681
600,0.88,0.9,67,0.3674056766857514,4.7058273927598755
