N,sr,lr,sigma,iteration,Effective_sr,KL,Entropy,Accuracy,F1
10,0.94,0.8,0.1,0,0.19999999999999996,36.25811308817248,1.6510097443754401,0.21742043551088777,0.11714598193041795
10,0.94,0.8,0.1,1,0.9519999999999997,1.7628325866206473,4.571192054666856,0.27403685092127306,0.2169796056166767
10,0.94,0.8,0.1,2,0.9519999999999993,1.3056665924659243,4.293190364548249,0.20636515912897824,0.1408137262533864
