epochs,KL_mean
1,0.5462076495518284
2,0.04422059762765426
3,0.07135853074725397
4,0.04060394202404685
5,0.10769197242429902
6,0.13696966315081704
7,0.17482582953843237
8,0.02389706100527685
9,0.06373801139666081
10,0.26745339599085294
11,0.25838016269934827
12,0.21987564928705766
13,0.200944783301732
14,0.06320095274071154
15,0.23062835031583911
