N,lr,sr,KL_mean,KL_std,entropy_mean,entropy_std
400,0.85,0.8,0.5360281079485456,0.6629806530436256,4.71610336191511,0.14387993901766943
400,0.85,0.9,0.8758704356263566,0.7368321239347607,4.811096890103958,0.13722672208893158
400,0.85,1.0,0.9110385231234714,0.754536791988937,4.836179575247339,0.12902514930941322
400,0.85,1.1,1.0447195902805841,0.7739636897229842,4.871310950736462,0.12463741626353302
400,0.85,1.2,0.9600728163151362,0.7850377938824615,4.843805736166986,0.13884639620719824
400,0.88,0.8,0.5227468334641189,0.6657966485265673,4.710631869127231,0.1563782365646313
400,0.88,0.9,0.6938495682353806,0.6300029042189006,4.788516531214496,0.13661854330056625
400,0.88,1.0,0.8560199461715997,0.7186342789078605,4.8397577996436905,0.14388160183252094
400,0.88,1.1,0.9234606168713603,0.7604960141520917,4.848578386530372,0.14112799994816302
400,0.88,1.2,1.0615387540793113,0.729024992838994,4.891863227475549,0.12083514933266744
400,0.91,0.8,0.37362287540381345,0.5546066187731673,4.690413420976019,0.13952912264582135
400,0.91,0.9,0.7806461122207305,0.9393910226424435,4.786839979140654,0.16018496498085366
400,0.91,1.0,0.829039150541204,0.8154299723515687,4.819180586648375,0.15009341781700308
400,0.91,1.1,0.9292866778789921,0.8787752184238239,4.835791106150709,0.16490714208865548
400,0.91,1.2,0.8327388586771213,0.7167369716795756,4.8330982714691855,0.15513189821571702
400,0.9400000000000001,0.8,0.2936018218322031,0.5244275267510387,4.668290014340421,0.13166143370460318
400,0.9400000000000001,0.9,0.5235484050368135,0.6105154056255467,4.753143652756692,0.14259453960089227
400,0.9400000000000001,1.0,0.6438797799905811,0.6401378979611378,4.799202650548458,0.1339371743076054
400,0.9400000000000001,1.1,0.5438350054902571,0.6566418641615827,4.75934275524651,0.15592067448345265
400,0.9400000000000001,1.2,0.7495236553031178,0.7166441824780012,4.815279346223753,0.15685037417711242
400,0.9700000000000001,0.8,0.20755779023202717,0.45132506768698394,4.636353496631891,0.12761807175952827
400,0.9700000000000001,0.9,0.2627534725315832,0.4432173369757898,4.6885948361480025,0.13208440093926463
400,0.9700000000000001,1.0,0.30472011670456983,0.4986397925519479,4.69909707500835,0.14221997485009089
400,0.9700000000000001,1.1,0.3574584027674215,0.5197827269501916,4.716751837044085,0.14402308134999817
400,0.9700000000000001,1.2,0.3419647666830498,0.5398502371074779,4.718510134218469,0.14551694724648845
400,1.0,0.8,0.05142088859857875,0.1263625852389792,4.584385863700299,0.08632395133133167
400,1.0,0.9,0.09291863029115875,0.22877268520232566,4.614865294889434,0.10179393811082603
400,1.0,1.0,0.09132024459556992,0.22496719608486432,4.6194274335053045,0.10689724975662422
400,1.0,1.1,0.16784036354951606,0.29937968553135763,4.646543544215361,0.13299974789729327
400,1.0,1.2,0.15488481633733606,0.26536929605539883,4.652922589285013,0.12604269202294627
500,0.85,0.8,0.5572425377981396,0.6168776880493487,4.722656934772655,0.13338917621512678
500,0.85,0.9,0.7610616519732073,0.5815974734442565,4.800236599036681,0.1118990278296462
500,0.85,1.0,1.0125835423961356,0.7578232618492439,4.855034810184481,0.12492479030245601
500,0.85,1.1,0.8195315250605515,0.7003538844091801,4.817858581281908,0.13000562602544177
500,0.85,1.2,0.9171199096036845,0.7002297193156598,4.838117437329238,0.13500359028293635
500,0.88,0.8,0.4718966710399345,0.6037805833834261,4.702601682671205,0.13668062076215104
500,0.88,0.9,0.7703110575755129,0.8314587980708349,4.785299086751483,0.14765382350697578
500,0.88,1.0,0.7534917480030912,0.7111113059965998,4.8007097064349855,0.1507141762836159
500,0.88,1.1,0.742179145865697,0.5802662022343833,4.80374758461507,0.1348889612250856
500,0.88,1.2,0.8279392206269087,0.6338059384719356,4.835280168046005,0.13307743204987565
500,0.91,0.8,0.3843699734400265,0.49614789599949577,4.683877811933926,0.11708902376366415
